title,location,size,rental fee
4 Bed House with En Suite at Lower Kabete,"Lower Kabete, Westlands",4 Bedrooms All Ensuite at Lower Kabete,"KSh 300,000"
4 Bed House with Garden at Old Runda,"Old Runda, Runda, Westlands",RUNDA : A 4 Bedroom Cottage – To Let,"KSh 350,000"
4 Bed House with En Suite at Lavington Green,"Lavington Green, Lavington",Gorgeous 4 Bedroom Townhouse For Rent In Laving...,"KSh 225,000"
5 Bed Townhouse with En Suite at Kilimani,"elgeyo marakwet, kilimani, Kilimani",5 Bedroom Townhouse For Rent in Kilimani,"KSh 220,000"
4 Bed Townhouse with En Suite at Loresho,"Loresho, Westlands",Prestigious secure 4 bedrooms townhouse plus TV...,"KSh 130,000"
5 Bed Villa with En Suite in Kileleshwa,Kileleshwa,Luxurious 5 Bedroom maisonette situated along L...,"KSh 250,000"
3 Bed House with Garden at Convent Drive,"Convent drive, Lavington",Stunning secure 3 bedrooms bungalow plus Dsq se...,"KSh 260,000"
5 Bed Townhouse with En Suite at Riara,"Riara, Lavington",Test-fully furnished 5 bedrooms townhouse plus...,"KSh 290,000"
3 Bed Townhouse with En Suite at Arwings Khodek Road,"arwings khodek road, Kilimani",Beautiful 3 Bedroom maisonette to let in Kilima...,"KSh 90,000"
4 Bed House with En Suite at Kileleshwa,Kileleshwa,Stunning secure 4 bedroom house plus family rm...,"KSh 300,000"
4 Bed House with En Suite at Lavington Green,"Lavington Green, Lavington",Charming 4 bedrooms house all en-suite plus Dsq...,"KSh 310,000"
4 Bed Townhouse with En Suite in Runda,"Runda, Westlands",Luxurious 4 Bedroom All Ensuite Townhouse with...,"KSh 380,000"
4 Bed Townhouse with En Suite in Spring Valley,"Spring Valley, Westlands","4 Bedroom Townhouse, all ensuite for rent in Sp...","KSh 250,000"
4 Bed House with En Suite at Maziwa,"Maziwa, Lavington",Magnificent secure 4 bedrooms double storey hou...,"KSh 230,000"
5 Bed Villa with En Suite at Riara,"Riara, Kilimani",Magnificent secure Test-fully furnished 5 bedro...,"KSh 290,000"
3 Bed Townhouse with En Suite at Lavington Green,"Lavington Green, Lavington",Gorgeous 3 bedrooms maisonette master ensuite p...,"KSh 100,000"
4 Bed Townhouse with En Suite at Kitisuru,"Kitisuru, Westlands",Kitisuru : 4 bedroom All en-suite Town house wi...,"KSh 450,000"
5 Bed House with En Suite at Lavington Green,"Lavington Green, Lavington",Gorgeous secure 5 bedrooms house plus family rm...,"KSh 295,000"
