house_href,house_price,bed_rooms,furnished,house_location,service_type,property_type
https://www.buyrentkenya.com/listings/2-bedroom-apartment-for-rent-parklands-3604710,200000.0,"Parklands, Westlands",False,Rent,Apartments,2
https://www.buyrentkenya.com/listings/5-bedroom-house-for-rent-karen-3646988,400000.0,Karen,False,Rent,Houses,5
https://www.buyrentkenya.com/listings/furnished-4-bedroom-house-for-rent-karen-3648100,330000.0,Karen,True,Rent,Houses,4
https://www.buyrentkenya.com/listings/1-bedroom-apartment-for-sale-westlands-area-3646957,8000000.0,"Westlands Area, Westlands",False,Sale,Apartments,1
https://www.buyrentkenya.com/listings/furnished-2-bedroom-apartment-for-rent-lavington-3646946,120000.0,Lavington,True,Rent,Apartments,2
https://www.buyrentkenya.com/listings/4-bedroom-house-for-rent-karen-3646983,320000.0,Karen,False,Rent,Houses,4
https://www.buyrentkenya.com/listings/5-bedroom-house-for-rent-karen-3648085,350000.0,Karen,False,Rent,Houses,5
https://www.buyrentkenya.com/listings/furnished-2-bedroom-apartment-for-rent-lavington-3646909,180000.0,Lavington,True,Rent,Apartments,2
https://www.buyrentkenya.com/listings/furnished-2-bedroom-apartment-for-rent-kilimani-3646912,140000.0,Kilimani,True,Rent,Apartments,2
https://www.buyrentkenya.com/listings/furnished-2-bedroom-apartment-for-rent-kilimani-3646341,180000.0,Kilimani,True,Rent,Apartments,2
https://www.buyrentkenya.com/listings/furnished-3-bedroom-apartment-for-rent-kilimani-3646845,220000.0,Kilimani,True,Rent,Apartments,3
https://www.buyrentkenya.com/listings/furnished-2-bedroom-apartment-for-rent-westlands-area-3644797,220000.0,"Westlands Area, Westlands",True,Rent,Apartments,2
https://www.buyrentkenya.com/listings/furnished-3-bedroom-apartment-for-rent-lavington-3646190,220000.0,Lavington,True,Rent,Apartments,3
https://www.buyrentkenya.com/listings/furnished-2-bedroom-apartment-for-rent-lavington-3646264,180000.0,Lavington,True,Rent,Apartments,2
